Classe di eta,  usano il pc,  tutti i giorni,  una o più volte alla settimana,  qualche volta al mese,  qualche volta all'anno,  non usano il pc
3-5 anni,"19,9","3,7","10,8","2,9","2,5","79,8"
6-10 anni,"47,2","8,6","27,5",7,"4,1","51,5"
11-14 anni,"74,3","23,7","38,7","9,7","2,1","24,7"
15-17 anni,"83,2","32,7",41,"7,4","2,1","15,7"
18-19 anni,"79,3","34,6","36,1","5,8","2,8",20
20-24 anni,"80,3","47,2","26,5","4,3","2,4","18,7"
25-34 anni,74,"46,2","21,3","4,8","1,7","25,1"
35-44 anni,"69,1","44,4","17,8","4,4","2,4","30,1"
45-54 anni,"66,5","42,9","17,6","3,8","2,3","32,4"
55-59 anni,"56,1","37,1","13,7","3,6","1,8","42,6"
60-64 anni,49,"31,6","13,7","2,4","1,4","49,9"
65-74 anni,"29,6","16,3","9,8","2,1","1,4","68,9"
75 anni e più,"8,9","4,8","2,7","0,7","0,7","89,9"
